Id	Country	Total Data Requests	Total Users/Accounts Requested	Percent Requests Where Some Data Produced	Emergency Request Total	Emergency Request Total Accounts	Emergency Request Total Percentage	Search Warrant	Search Warrant Accounts	Search Warrant Percentage	Subpoena	Subpoena Accounts	Subpoena Percentage	Court Order (Other)	Court Order (Other) Accounts	Court Order (Other) Percentage	Court Order (18 USC 2703(d))	Court Order (18 USC 2703(d)) Accounts	Court Order (18 USC 2703(d)) Percentage	Pen Register/Trap and Trace	Pen Register/Trap and Trace Accounts	Pen Register/Trap and Trace Percentage	Title III	Title III Accounts	Title III Percentage
ALB	Albania	8	14	87.50%																					
198	Andorra	2	2	0%																					
ARG	Argentina	568	694	46.13%																					
ARM	Armenia	5	6	80.00%																					
AUS	Australia	693	744	64.94%																					
AUT	Austria	58	67	36.21%																					
BGD	Bangladesh	3	3	0%																					
BEL	Belgium	281	356	68.68%																					
BIH	Bosnia and Herzegovina	17	38	23.53%																					
BWA	Botswana	2	2	0%																					
BRA	Brazil	1,265	1,954	39.94%																					
BRN	Brunei	2	2	50.00%																					
BGR	Bulgaria	2	2	100.00%																					
KHM	Cambodia	1	1	0%																					
CAN	Canada	410	508	78.78%																					
CHL	Chile	310	616	52.26%																					
CHN	China	0	0	0%																					
COL	Colombia	125	182	48.80%																					
CRI	Costa Rica	1	1	0%																					
HRV	Croatia	18	20	44.44%																					
CYP	Cyprus	8	8	12.50%																					
CZE	Czech Republic	34	41	73.53%																					
DNK	Denmark	49	80	38.78%																					
DOM	Dominican Republic	80	96	53.75%																					
ECU	Ecuador	13	26	69.23%																					
EGY	Egypt	2	4	0%																					
EST	Estonia	14	19	57.14%																					
FIN	Finland	16	22	81.25%																					
FRA	France	2,520	2,847	42.50%																					
DEU	Germany	2,344	2,716	35.66%																					
GRC	Greece	162	179	66.05%																					
GTM	Guatemala	1	1	100.00%																					
HKG	Hong Kong	71	239	46.48%																					
HUN	Hungary	185	224	36.22%																					
ISL	Iceland	1	1	100.00%																					
IND	India	5,115	6,268	45.32%																					
IDN	Indonesia	8	7	12.50%																					
IRQ	Iraq	1	1	100.00%																					
IRL	Ireland	20	18	60.00%																					
ISR	Israel	174	237	63.22%																					
ITA	Italy	1,816	2,994	48.62%																					
JPN	Japan	9	8	22.22%																					
JOR	Jordan	7	12	14.29%																					
KAZ	Kazakhstan	2	3	0%																					
KEN	Kenya	5	6	20.00%																					
OSA	Kosovo	6	14	50.00%																					
KWT	Kuwait	3	8	33.33%																					
LBN	Lebanon	2	2	0%																					
210	Liechtenstein	3	3	33.33%																					
LTU	Lithuania	34	114	50.00%																					
LUX	Luxembourg	5	5	20.00%																					
MKD	Macedonia	10	23	30.00%																					
MYS	Malaysia	4	7	75.00%																					
174	Maldives	3	4	0%																					
173	Malta	152	193	71.05%																					
MEX	Mexico	313	574	61.02%																					
MDA	Moldova	5	3	20.00%																					
212	Monaco	1	1	0%																					
MNG	Mongolia	3	3	0%																					
MNE	Montenegro	3	4	66.67%																					
222	Nauru	1	1	0%																					
NLD	Netherlands	113	111	66.37%																					
NZL	New Zealand	146	154	67.81%																					
NOR	Norway	26	36	61.54%																					
PAK	Pakistan	192	275	58.33%																					
PAN	Panama	1	38	0%																					
PER	Peru	18	33	55.56%																					
PHL	Philippines	5	6	80.00%																					
POL	Poland	492	444	34.35%																					
PRT	Portugal	488	486	36.07%																					
QAT	Qatar	1	1	0%																					
ROU	Romania	25	70	28.00%																					
RUS	Russia	1	1	0%																					
SEN	Senegal	2	2	0%																					
SRB	Serbia	19	27	84.21%																					
SGP	Singapore	198	213	74.62%																					
SVN	Slovenia	1	2	0%																					
ZAF	South Africa	3	4	0%																					
KOR	South Korea	25	24	28.00%																					
ESP	Spain	619	1,000	41.33%																					
LKA	Sri Lanka	1	1	100.00%																					
SWE	Sweden	238	348	87.82%																					
CHE	Switzerland	38	45	44.74%																					
TWN	Taiwan	245	394	62.86%																					
THA	Thailand	2	2	0%																					
TUN	Tunisia	1	48	100.00%																					
TUR	Turkey	368	475	87.50%																					
UGA	Uganda	1	2	0%																					
UKR	Ukraine	6	7	16.67%																					
ARE	United Arab Emirates	2	6	0%																					
GBR	United Kingdom	3,384	4,489	78.04%																					
USA	United States	17,577	26,579	79.85%	666	809	73.72%	9,737	15,013	83.96%	5,375	8,475	72.52%	295	345	71.53%	237	343	78.90%	1,066	1,315	80.58%	201	279	86.57%
